experiment,scenario,policy,K,demand_mult,svc_mean,n_reps,mean_RT,std_RT,mean_coverage_8,mean_p90_RT,mean_utilization,mean_queue_frac
exp3,P0_K20_d0.75,P0,20,0.75,25.0,30,8.047888430187056,0.39339795637435626,0.6478395069055003,19.525119748366325,0.06807636863379263,0.0
exp3,P0_K20_d1.0,P0,20,1.0,25.0,30,8.082451489150738,0.26632185817390963,0.6443605964192142,19.474594520117968,0.09059053552779157,0.0
exp3,P0_K20_d1.25,P0,20,1.25,25.0,30,8.309396889572719,0.29462192275041454,0.6342862154131343,19.832117527780294,0.1151238143065629,0.0
exp3,P0_K20_d1.5,P0,20,1.5,25.0,30,8.433636058710952,0.3649256962233454,0.6280188119160413,20.080575123682326,0.13956054579691968,0.0
exp3,P0_K20_d2.0,P0,20,2.0,25.0,30,8.576526515205519,0.29659364698067214,0.624638557279529,20.386557242312897,0.1869526334057764,0.0
exp3,P1_K20_d0.5,P1,20,0.5,25.0,30,2.529229097978198,0.0492447653225063,0.9976842193922023,3.7458199504659544,0.037220454719199804,0.0
exp3,P1_K20_d0.75,P1,20,0.75,25.0,30,2.5879790862480605,0.0605589114029377,0.9965379425403176,3.8382802433512575,0.056527071954801965,0.0
exp3,P1_K20_d1.0,P1,20,1.0,25.0,30,2.6340456527575755,0.04682774542575579,0.9957747133114377,4.0313856538558985,0.07468800148429097,0.0
exp3,P1_K20_d1.25,P1,20,1.25,25.0,30,2.669849122427059,0.04432820942861661,0.9944845222103914,4.151486077887926,0.09481321476103752,0.0
exp3,P1_K20_d1.5,P1,20,1.5,25.0,30,2.743933263148349,0.05296635105657521,0.9929823245502056,4.501467000420901,0.11515946939409999,0.0
exp3,P1_K20_d2.0,P1,20,2.0,25.0,30,2.866995774416231,0.056196880241696785,0.9888669249890304,4.868506229008437,0.1534795319447696,0.0
exp3,P2_K20_d0.5,P2,20,0.5,25.0,30,2.4399213292498545,0.043213805414349,0.9976703441520893,3.4440702010887234,0.036925804211935996,0.0
exp3,P2_K20_d0.75,P2,20,0.75,25.0,30,2.5245378502446916,0.047640318915876806,0.9972951769142203,3.6271351542635855,0.05639004449831215,0.0
exp3,P2_K20_d1.0,P2,20,1.0,25.0,30,2.5702157283030402,0.04373025578622688,0.996240946299924,3.760052445966623,0.07459668519352398,0.0
exp3,P2_K20_d1.25,P2,20,1.25,25.0,30,2.6283974682305398,0.042233716321345656,0.9957124852692772,3.915790422622438,0.09483628433902204,0.0
exp3,P2_K20_d1.5,P2,20,1.5,25.0,30,2.708373094984375,0.052928656446544216,0.9940433803522034,4.181277704985621,0.11503871751537292,0.0
exp3,P2_K20_d2.0,P2,20,2.0,25.0,30,2.8517316458267867,0.05190360367204266,0.9914882779123002,4.750805637638731,0.15338661544234947,0.0
exp4,P0_K20_s20,P0,20,1.0,20.0,30,8.018413418756971,0.2616138480733447,0.647675127953267,19.300555459755806,0.07610117944672078,0.0
exp4,P0_K20_s25,P0,20,1.0,25.0,30,8.082451489150738,0.26632185817390963,0.6443605964192142,19.474594520117968,0.09059053552779157,0.0
exp4,P0_K20_s30,P0,20,1.0,30.0,30,8.138608893080967,0.25177774199733277,0.6425828801480049,19.552835506583424,0.10505440347261441,0.0
exp4,P1_K20_s20,P1,20,1.0,20.0,30,2.5949759652236333,0.043605557979373745,0.9964700483005071,3.9114510043516857,0.0603017862636434,0.0
exp4,P1_K20_s25,P1,20,1.0,25.0,30,2.6340456527575755,0.04682774542575579,0.9957747133114377,4.0313856538558985,0.07468800148429097,0.0
exp4,P1_K20_s30,P1,20,1.0,30.0,30,2.673947272025872,0.045049149135626014,0.994785153849246,4.178249784216394,0.08907303396912596,0.0
exp4,P2_K20_s20,P2,20,1.0,20.0,30,2.5216993235644183,0.03818006435310998,0.9968738893130251,3.650988876338916,0.060165755263991046,0.0
exp4,P2_K20_s25,P2,20,1.0,25.0,30,2.5702157283030402,0.04373025578622688,0.996240946299924,3.760052445966623,0.07459668519352398,0.0
exp4,P2_K20_s30,P2,20,1.0,30.0,30,2.6201956396282555,0.05050909249053532,0.9957201196585418,3.9085083392825823,0.08902834646236675,0.0
