experiment_id,scenario_id,replication,policy,K,demand_multiplier,service_time_mean,mean_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
exp3_demand_sensitivity,P1_K20_d0.5,2,P1,20,0.5,25.0,2.523728777971078,3.739705059418867,3.739705059418867,0.9930313588850174,1.0,0.03815706318988026,0.0756664562300887,0.0,0,0.0,287,0,44
exp3_demand_sensitivity,P1_K20_d0.5,3,P1,20,0.5,25.0,2.5312902790297107,3.6606324938161063,3.6606324938161063,0.996551724137931,1.0,0.03749502365998145,0.06645405629053402,0.0,0,0.0,290,0,45
exp3_demand_sensitivity,P1_K20_d0.5,4,P1,20,0.5,25.0,2.5384432447630534,3.7397050594186965,3.7397050594186965,0.99609375,0.99609375,0.0336214188606269,0.07408774422937295,0.0,0,0.0,256,0,46
exp3_demand_sensitivity,P1_K20_d0.5,5,P1,20,0.5,25.0,2.5209917177921084,3.8259662874011724,3.8259662874011724,1.0,1.0,0.03554099842783143,0.08182099984339264,0.0,0,0.0,278,0,47
exp3_demand_sensitivity,P1_K20_d0.5,6,P1,20,0.5,25.0,2.4865757191221625,3.6422620723060817,3.6422620723060817,0.996309963099631,0.996309963099631,0.03528864931710508,0.06179646674453179,0.0,0,0.0,271,0,48
exp3_demand_sensitivity,P1_K20_d0.5,7,P1,20,0.5,25.0,2.561413143858577,3.747351806534994,3.747351806534994,0.9966442953020134,1.0,0.04017737909943738,0.07285576510494705,0.0,0,0.0,298,0,49
exp3_demand_sensitivity,P1_K20_d0.5,8,P1,20,0.5,25.0,2.4367533171540816,3.642262072306721,3.642262072306721,1.0,1.0,0.03879673334711708,0.07552315699790282,0.0,0,0.0,298,0,50
exp3_demand_sensitivity,P1_K20_d0.5,9,P1,20,0.5,25.0,2.5166236804887734,3.8224491972128476,3.8224491972128476,0.9929328621908127,1.0,0.0372781323636481,0.08172980559139773,0.0,0,0.0,283,0,51
exp3_demand_sensitivity,P1_K20_d0.5,10,P1,20,0.5,25.0,2.534286039682906,3.7397050594186965,3.7397050594186965,0.9965277777777778,0.9965277777777778,0.03736851515481794,0.06801762205647666,0.0,0,0.0,288,0,52
exp3_demand_sensitivity,P1_K20_d0.5,11,P1,20,0.5,25.0,2.6324296727993777,3.8259662874006395,3.8259662874006395,0.993006993006993,0.9965034965034965,0.03847232396596554,0.08030313802429608,0.0,0,0.0,286,0,53
exp3_demand_sensitivity,P1_K20_d0.5,12,P1,20,0.5,25.0,2.489105847267171,3.7483311822172847,3.7483311822172847,1.0,1.0,0.035933860031139644,0.0722749106568221,0.0,0,0.0,280,0,54
exp3_demand_sensitivity,P1_K20_d0.5,13,P1,20,0.5,25.0,2.4968539001882126,3.893962807688354,3.893962807688354,1.0,1.0,0.03623902502298557,0.07283360056951735,0.0,0,0.0,273,0,55
exp3_demand_sensitivity,P1_K20_d0.5,14,P1,20,0.5,25.0,2.5672079943036334,3.8996839922350546,3.8996839922350546,1.0,1.0,0.038517598373508,0.08631990208282314,0.0,0,0.0,291,0,56
exp3_demand_sensitivity,P1_K20_d0.5,15,P1,20,0.5,25.0,2.494788098205043,3.8259662874003197,3.8259662874003197,1.0,1.0,0.0347681664637703,0.08553937406446362,0.0,0,0.0,279,0,57
exp3_demand_sensitivity,P1_K20_d0.5,16,P1,20,0.5,25.0,2.5265076783336124,3.642262072306721,3.642262072306721,1.0,1.0,0.03538515452386236,0.06545260855110296,0.0,0,0.0,278,0,58
exp3_demand_sensitivity,P1_K20_d0.5,17,P1,20,0.5,25.0,2.48523291629724,3.642262072306721,3.642262072306721,0.9964788732394366,1.0,0.03649863016842571,0.06253568641646694,0.0,0,0.0,284,0,59
exp3_demand_sensitivity,P1_K20_d0.5,18,P1,20,0.5,25.0,2.4793349952679624,3.6422620723062096,3.6422620723062096,0.9965397923875432,1.0,0.03912092935458249,0.09062954305322588,0.0,0,0.0,289,0,60
exp3_demand_sensitivity,P1_K20_d0.5,19,P1,20,0.5,25.0,2.4442799757934335,3.41963037003723,3.41963037003723,1.0,1.0,0.04194975311009043,0.09536715264121065,0.0,0,0.0,327,0,61
exp3_demand_sensitivity,P1_K20_d0.5,20,P1,20,0.5,25.0,2.546918756355905,3.8996839922350546,3.8996839922350546,0.996551724137931,1.0,0.03683669698306905,0.06622592098164672,0.0,0,0.0,290,0,62
exp3_demand_sensitivity,P1_K20_d0.5,21,P1,20,0.5,25.0,2.511811738516353,3.642262072306721,3.642262072306721,0.9964285714285714,1.0,0.03642538655174485,0.08716012930571125,0.0,0,0.0,280,0,63
exp3_demand_sensitivity,P1_K20_d0.5,22,P1,20,0.5,25.0,2.627920292746316,3.8996839922350546,3.8996839922350546,1.0,1.0,0.037750268998497524,0.073714042692204,0.0,0,0.0,284,0,64
exp3_demand_sensitivity,P1_K20_d0.5,23,P1,20,0.5,25.0,2.5271611920280868,3.748217645908525,3.748217645908525,1.0,1.0,0.03748608899721164,0.0730668086679173,0.0,0,0.0,280,0,65
exp3_demand_sensitivity,P1_K20_d0.5,24,P1,20,0.5,25.0,2.5846479336965213,3.8248309243131473,3.8248309243131473,0.9969788519637462,1.0,0.043196691487623964,0.08602179363474469,0.0,0,0.0,331,0,66
exp3_demand_sensitivity,P1_K20_d0.5,25,P1,20,0.5,25.0,2.49322968089843,3.6812392671515144,3.6812392671515144,1.0,1.0,0.03584936116361626,0.06347537086831291,0.0,0,0.0,287,0,67
exp3_demand_sensitivity,P1_K20_d0.5,26,P1,20,0.5,25.0,2.6287062798598724,3.8996839922350546,3.8996839922350546,0.9896551724137931,0.996551724137931,0.037891178355887435,0.07776336195302724,0.0,0,0.0,290,0,68
exp3_demand_sensitivity,P1_K20_d0.5,27,P1,20,0.5,25.0,2.5353698619864473,3.562265435486438,3.562265435486438,1.0,1.0,0.033209169442698264,0.06434387825695513,0.0,0,0.0,261,0,69
exp3_demand_sensitivity,P1_K20_d0.5,28,P1,20,0.5,25.0,2.5459844954929616,3.87965984632141,3.87965984632141,1.0,1.0,0.03556697417573654,0.06533348307026964,0.0,0,0.0,268,0,70
exp3_demand_sensitivity,P1_K20_d0.5,29,P1,20,0.5,25.0,2.559038312531767,3.825966287401087,3.825966287401087,0.9967948717948718,1.0,0.03881575396667675,0.07662035357201571,0.0,0,0.0,312,0,71
exp3_demand_sensitivity,P2_K20_d0.5,0,P2,20,0.5,25.0,2.393877240969097,3.2915508106361244,3.2915508106361244,1.0,1.0,0.03832710299077968,0.07202214066629015,0.0,0,0.0,305,0,42
exp3_demand_sensitivity,P2_K20_d0.5,1,P2,20,0.5,25.0,2.3922477000140634,3.203807927002232,3.203807927002232,1.0,1.0,0.03426515940055659,0.0694910252524826,0.0,0,0.0,268,0,43
exp3_demand_sensitivity,P2_K20_d0.5,2,P2,20,0.5,25.0,2.4900020030107455,3.6422620723063375,3.6422620723063375,0.9895470383275261,1.0,0.038109049378304824,0.0756664562300887,0.0,0,0.0,287,0,44
exp3_demand_sensitivity,P2_K20_d0.5,3,P2,20,0.5,25.0,2.426171450899953,3.366420882848658,3.366420882848658,0.996551724137931,1.0,0.0373438110599932,0.06778634589704845,0.0,0,0.0,290,0,45
exp3_demand_sensitivity,P2_K20_d0.5,4,P2,20,0.5,25.0,2.491650142838887,3.5708533365630046,3.5708533365630046,0.99609375,0.99609375,0.03356199904865972,0.06345467704816007,0.0,0,0.0,256,0,46
exp3_demand_sensitivity,P2_K20_d0.5,5,P2,20,0.5,25.0,2.435796686928437,3.366420882849468,3.366420882849468,1.0,1.0,0.03542351718487459,0.08182099984339264,0.0,0,0.0,278,0,47
exp3_demand_sensitivity,P2_K20_d0.5,6,P2,20,0.5,25.0,2.453455667542717,3.437359103594275,3.437359103594275,0.996309963099631,0.996309963099631,0.035244127819198195,0.06306470846766807,0.0,0,0.0,271,0,48
