policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P0-spatial,48,P0-spatial_K48,11,2,2.434131482385212,2.288306404684306,3.1728392029959873,3.642262072306721,0.9982964224872232,1.0,0.031968695670422126,0.11523479250727248,0.0,0,0.0,587,0,53
P0-spatial,48,P0-spatial_K48,12,2,2.3393921805644444,2.2299247322197857,3.1643719584170356,3.397478638735776,1.0,1.0,0.02884487053929023,0.14218131529081215,0.0,0,0.0,539,0,54
P0-spatial,48,P0-spatial_K48,13,2,2.4194531870734237,2.288306404684306,3.2585541959193165,3.6422620723058685,0.9965156794425087,0.9965156794425087,0.030655082560441554,0.13225543464053488,0.0,0,0.0,574,0,55
P0-spatial,48,P0-spatial_K48,14,2,2.333992859393477,2.229924732219253,3.166203834015704,3.489532763400234,1.0,1.0,0.030918214008117294,0.1496790853793113,0.0,0,0.0,569,0,56
P0-spatial,48,P0-spatial_K48,15,2,2.3862363925891574,2.2499467463217115,3.2400841235387707,3.6422620723062096,1.0,1.0,0.029946323896094623,0.10639277625932433,0.0,0,0.0,573,0,57
P0-spatial,48,P0-spatial_K48,16,2,2.381359073318595,2.239377979052044,3.166203834015704,3.4864557813734933,0.998211091234347,0.998211091234347,0.029956871164926315,0.11906307583993858,0.0,0,0.0,559,0,58
P0-spatial,48,P0-spatial_K48,17,2,2.3679358175363734,2.2397948187359873,3.166203834015704,3.385743627717346,1.0,1.0,0.030655366510055505,0.13218447333415803,0.0,0,0.0,578,0,59
P0-spatial,48,P0-spatial_K48,18,2,2.3680158498940918,2.2299247322197857,3.0529863902168017,3.3873220455208464,0.9967479674796748,0.9983739837398374,0.03344796290857017,0.15369502918763706,0.0,0,0.0,615,0,60
P0-spatial,48,P0-spatial_K48,19,2,2.3892007113525535,2.230428642904272,3.166203834016983,3.499444600819288,0.9982817869415808,0.9982817869415808,0.030517360620924073,0.13370985235467117,0.0,0,0.0,582,0,61
P0-spatial,48,P0-spatial_K48,20,2,2.366489666261548,2.2883064046834534,3.162122983512234,3.381503560853972,1.0,1.0,0.030946830994764543,0.12721206243617728,0.0,0,0.0,584,0,62
P0-spatial,48,P0-spatial_K48,21,2,2.3670440650241447,2.2393779790519375,3.1662038340161303,3.4225944299101254,0.996415770609319,1.0,0.030117034213934978,0.1058356457040068,0.0,0,0.0,558,0,63
P0-spatial,48,P0-spatial_K48,22,2,2.365530828743977,2.2395863988939624,3.1662038340161303,3.499444600819288,1.0,1.0,0.03140244915052145,0.13958753859867923,0.0,0,0.0,572,0,64
P0-spatial,48,P0-spatial_K48,23,2,2.418438957095502,2.2883064046834534,3.1585409715019637,3.499444600819288,0.9982758620689656,0.9982758620689656,0.03222892550518771,0.1430773896485688,0.0,0,0.0,580,0,65
P0-spatial,48,P0-spatial_K48,24,2,2.355645678033244,2.239794818735561,3.1137732569736785,3.38416520991359,1.0,1.0,0.031906126590836595,0.13388118715978797,0.0,0,0.0,593,0,66
P0-spatial,48,P0-spatial_K48,25,2,2.371384145116953,2.2397948187351346,3.166203834015704,3.492010722755019,0.9983221476510067,1.0,0.03224654740073347,0.12319532289122982,0.0,0,0.0,596,0,67
P0-spatial,48,P0-spatial_K48,26,2,2.401573828730266,2.239377979052044,3.166203834016983,3.642262072306721,0.998272884283247,1.0,0.031244508941526212,0.13296559439732347,0.0,0,0.0,579,0,68
P0-spatial,48,P0-spatial_K48,27,2,2.3545713876045853,2.2071533850055403,3.140618680221508,3.4225944299103332,0.9981981981981982,0.9981981981981982,0.028914942163412793,0.11539548012593025,0.0,0,0.0,555,0,69
P0-spatial,48,P0-spatial_K48,28,2,2.3883022259968176,2.2393779790519375,3.1662038340161303,3.4994446008190137,0.998220640569395,0.998220640569395,0.029908224643029935,0.12047536661176463,0.0,0,0.0,562,0,70
P0-spatial,48,P0-spatial_K48,29,2,2.3991774268452426,2.290216973111825,3.166203834015789,3.38416520991359,0.9982238010657194,0.9982238010657194,0.029537745498679963,0.1258287989584231,0.0,0,0.0,563,0,71
P1,48,P1_K48,0,2,2.328369952945293,2.2299247322195193,3.1579439694998257,3.4994446008188618,0.9982698961937716,1.0,0.0304464517145686,0.1265074592055647,0.0,0,0.0,578,0,42
P1,48,P1_K48,1,2,2.3384084723340677,2.1747971145641287,3.157943969500252,3.3841652099132915,0.9981308411214953,1.0,0.02854432706614378,0.11175764750899807,0.0,0,0.0,535,0,43
P1,48,P1_K48,2,2,2.288667773488757,2.182203716683375,2.9654618299326003,3.344847545462921,1.0,1.0,0.030656891018579973,0.12165397906294202,0.0,0,0.0,565,0,44
P1,48,P1_K48,3,2,2.330570489261705,2.175068583051285,3.0270716314219044,3.366420882849468,0.998330550918197,0.998330550918197,0.0320412739144211,0.17934149176608588,0.0,0,0.0,599,0,45
P1,48,P1_K48,4,2,2.320725135426933,2.1695336601734994,3.166203834015704,3.4072210880947216,0.9965337954939342,0.9982668977469671,0.03044944833779759,0.13376004994867038,0.0,0,0.0,577,0,46
