policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_6min,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P0,20,P0_K20,1,2,3.1799568515571823,2.6494454677668955,5.093761038327216,6.126546994083588,0.9439252336448598,0.9981308411214953,1.0,0.070739660667497,0.17719708252054542,0.0,0,0.0,535,0,43
P0,20,P0_K20,2,2,3.192969738418067,2.6494454677668955,5.7257439034056645,6.622804422078942,0.9380530973451328,0.9982300884955753,1.0,0.07611091647130369,0.15644208171374205,0.0,0,0.0,565,0,44
P0,20,P0_K20,3,2,3.100778935894183,2.626556194418299,5.093761038326704,5.9945478168090185,0.9499165275459098,0.998330550918197,0.998330550918197,0.0791875239597539,0.13573579413095582,0.0,0,0.0,599,0,45
P0,20,P0_K20,4,2,3.240873114856975,2.665805644236343,5.543699123328196,6.706654725447516,0.9306759098786829,0.9948006932409013,0.9982668977469671,0.07571223446374578,0.1518996408966841,0.0,0,0.0,577,0,46
P0,20,P0_K20,5,2,3.0687726697582542,2.6494454677668955,5.00432402632788,5.962829446189826,0.9506398537477148,0.9981718464351006,1.0,0.07098787748583871,0.1410974375782281,0.0,0,0.0,547,0,47
P0,20,P0_K20,6,2,3.035824368148649,2.561767529274448,4.540874724738728,5.892374602399144,0.959409594095941,0.996309963099631,1.0,0.07202414913267541,0.12729910780913029,0.0,0,0.0,542,0,48
P0,20,P0_K20,7,2,3.2106408238992885,2.665805644236343,5.458405857989274,6.113519141345591,0.9425087108013938,0.9965156794425087,1.0,0.0785017707038144,0.15429280557474948,0.0,0,0.0,574,0,49
P0,20,P0_K20,8,2,3.1827064869304724,2.6511981464594214,5.453563148573883,6.113519141346092,0.9398496240601504,0.9962406015037594,0.9962406015037594,0.07114348976050983,0.13709355304625034,0.0,0,0.0,532,0,50
P0,20,P0_K20,9,2,3.033534014845977,2.6265577094218884,4.945668158688932,5.892374602399144,0.9618874773139746,1.0,1.0,0.07388138535557354,0.1417097472733438,0.0,0,0.0,551,0,51
P0,20,P0_K20,10,2,3.119031009889125,2.626557709421675,5.093761038327216,6.027582753649199,0.9456342668863262,0.9967051070840197,1.0,0.08051979771257677,0.1872278996356866,0.0,0,0.0,607,0,52
P0,20,P0_K20,11,2,3.3187831115472175,2.8309611640833054,5.892374602399144,6.77084952287899,0.9114139693356048,0.9965928449744463,0.9982964224872232,0.07930071537448,0.1604908497380617,0.0,0,0.0,587,0,53
P0,20,P0_K20,12,2,3.160793644898161,2.651198146460274,5.093761038327216,6.3452688625192195,0.9424860853432282,0.9981447124304267,1.0,0.07142379737602221,0.13617530815290374,0.0,0,0.0,539,0,54
P0,20,P0_K20,13,2,3.1438254935694276,2.6265561944174465,5.358220455243316,6.113519141346028,0.9407665505226481,0.9965156794425087,0.9965156794425087,0.07563464707327754,0.15946117947520996,0.0,0,0.0,574,0,55
