mean_response_time,p90_response_time,coverage_6min,coverage_8min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,cbd_mean_rt,cbd_coverage_6min,cbd_coverage_8min,non_cbd_mean_rt,non_cbd_coverage_6min,non_cbd_coverage_8min,random_seed,experiment_id,scenario_id,replication,policy,K,scenario_type
8.665249535362115,19.47376246361216,0.5545927209705372,0.6117850953206239,0.09123735943711604,0.5303451984311307,0.0,0,0.0,577,0,2.9760941186074508,0.990506329113924,0.9968354430379747,15.553269120398417,0.02681992337164751,0.14559386973180077,46,cbd_robustness,C_cbdonly_CBDONLY,4,CBD_ONLY,20,cbd_only
7.858144501351649,18.796293658121385,0.5886654478976234,0.6563071297989032,0.08398284966779104,0.4569791303118159,0.0,0,0.0,547,0,2.897530927689129,0.9936507936507937,1.0,14.593460344902054,0.03879310344827586,0.1896551724137931,47,cbd_robustness,C_cbdonly_CBDONLY,5,CBD_ONLY,20,cbd_only
8.66861884790457,20.25545474950131,0.5383275261324042,0.6062717770034843,0.09224451861736269,0.5243942396487816,0.0,0,0.0,574,0,2.9483151770304494,0.9933333333333333,1.0,14.931725056890835,0.040145985401459854,0.17518248175182483,48,cbd_robustness,C_cbdonly_CBDONLY,6,CBD_ONLY,20,cbd_only
8.518054339917436,19.15520272866587,0.5584642233856894,0.6055846422338569,0.09318627013761312,0.5136392369964312,0.0,0,0.0,573,0,3.0611667327876417,0.9905362776025236,1.0,15.275215947183625,0.0234375,0.1171875,49,cbd_robustness,C_cbdonly_CBDONLY,7,CBD_ONLY,20,cbd_only
8.139054326067823,19.812117826075408,0.583804143126177,0.6459510357815442,0.08408479083320054,0.45611006926262626,0.0,0,0.0,531,0,2.9279318635137264,0.9868852459016394,0.9967213114754099,15.171763844116493,0.03982300884955752,0.17256637168141592,50,cbd_robustness,C_cbdonly_CBDONLY,8,CBD_ONLY,20,cbd_only
7.899336773190847,18.86039329341429,0.604355716878403,0.6660617059891107,0.08718028079132764,0.49038350121366164,0.0,0,0.0,551,0,2.9765471631389655,0.9969040247678018,1.0,14.873288720764348,0.04824561403508772,0.19298245614035087,51,cbd_robustness,C_cbdonly_CBDONLY,9,CBD_ONLY,20,cbd_only
8.32117083745287,19.357348100561193,0.5789473684210527,0.6414473684210527,0.0963458226183034,0.5278436645872618,0.0,0,0.0,608,0,2.9874088574593487,0.9855072463768116,1.0,15.317930849231445,0.045627376425855515,0.17110266159695817,52,cbd_robustness,C_cbdonly_CBDONLY,10,CBD_ONLY,20,cbd_only
8.563089045564807,18.896851942489363,0.5229982964224872,0.6030664395229983,0.09457059425973952,0.5021811147203997,0.0,0,0.0,587,0,3.015604776675458,0.9804560260586319,0.996742671009772,14.645509297525631,0.02142857142857143,0.17142857142857143,53,cbd_robustness,C_cbdonly_CBDONLY,11,CBD_ONLY,20,cbd_only
8.33504190365226,19.913900598422742,0.5533453887884268,0.6166365280289331,0.08746667593837527,0.4842406354047687,0.0,0,0.0,553,0,2.9401574711458034,0.9866220735785953,0.9966555183946488,14.685712948216947,0.04330708661417323,0.16929133858267717,54,cbd_robustness,C_cbdonly_CBDONLY,12,CBD_ONLY,20,cbd_only
8.39753503872839,19.533090652624598,0.5679442508710801,0.6463414634146342,0.09059312563935511,0.5110533354155388,0.0,0,0.0,574,0,2.9576908339127557,0.9871794871794872,1.0,14.875517450569907,0.06870229007633588,0.22519083969465647,55,cbd_robustness,C_cbdonly_CBDONLY,13,CBD_ONLY,20,cbd_only
8.160066077418238,19.30745623068219,0.5797788309636651,0.6382306477093207,0.10023267371144391,0.5190025651485884,0.0,0,0.0,633,0,2.919085664214627,0.9915254237288136,1.0,14.809912193095938,0.05734767025089606,0.17921146953405018,56,cbd_robustness,C_cbdonly_CBDONLY,14,CBD_ONLY,20,cbd_only
8.248027571806475,19.15710393112184,0.5818505338078291,0.6352313167259787,0.08694716751603647,0.49730915954776506,0.0,0,0.0,562,0,2.963628214773822,0.9875389408099688,1.0,15.286584391754527,0.04149377593360996,0.14937759336099585,57,cbd_robustness,C_cbdonly_CBDONLY,15,CBD_ONLY,20,cbd_only
7.837714405126211,18.755784330877873,0.578268876611418,0.6574585635359116,0.08460435414989792,0.46645180693000626,0.0,0,0.0,543,0,2.9961473791015907,0.9743589743589743,1.0,14.376973764951675,0.04329004329004329,0.19480519480519481,58,cbd_robustness,C_cbdonly_CBDONLY,16,CBD_ONLY,20,cbd_only
8.462694470470181,20.283131198827512,0.5726643598615917,0.6366782006920415,0.09104693965089795,0.5079107654123743,0.0,0,0.0,578,0,3.0033725157443816,0.9875776397515528,0.9937888198757764,15.329497866648722,0.05078125,0.1875,59,cbd_robustness,C_cbdonly_CBDONLY,17,CBD_ONLY,20,cbd_only
7.795735187434841,18.876983828264343,0.608130081300813,0.6617886178861788,0.09683288574538768,0.5353399066962222,0.0,0,0.0,615,0,2.900150240201329,0.989159891598916,1.0,15.139112608285105,0.036585365853658534,0.15447154471544716,60,cbd_robustness,C_cbdonly_CBDONLY,18,CBD_ONLY,20,cbd_only
8.14938104773598,19.022375885841594,0.5893805309734513,0.6336283185840708,0.08724750961603295,0.4795519897745133,0.0,0,0.0,565,0,2.968708213471083,0.9847094801223242,1.0,15.267364311620947,0.046218487394957986,0.13025210084033614,61,cbd_robustness,C_cbdonly_CBDONLY,19,CBD_ONLY,20,cbd_only
8.406963655452811,19.788172425939777,0.5560975609756098,0.6308943089430894,0.09698668587505752,0.5064447160743757,0.0,0,0.0,615,0,2.961648750782826,0.9880952380952381,0.9970238095238095,14.964762250324188,0.035842293906810034,0.18996415770609318,62,cbd_robustness,C_cbdonly_CBDONLY,20,CBD_ONLY,20,cbd_only
8.45240758157075,19.799266520921293,0.5631768953068592,0.6335740072202166,0.08844460125106364,0.5199020497470929,0.0,0,0.0,554,0,2.9852881093015227,1.0,1.0,15.052157382756308,0.035856573705179286,0.19123505976095617,63,cbd_robustness,C_cbdonly_CBDONLY,21,CBD_ONLY,20,cbd_only
7.790126137242731,18.874218739122774,0.5972222222222222,0.6631944444444444,0.09153504582039683,0.4770349132378321,0.0,0,0.0,576,0,3.0038144290839712,0.9854651162790697,0.997093023255814,14.887071083822958,0.021551724137931036,0.16810344827586207,64,cbd_robustness,C_cbdonly_CBDONLY,22,CBD_ONLY,20,cbd_only
