policy,K,scenario_id,replication,capacity,mean_response_time,median_response_time,p90_response_time,p95_response_time,coverage_6min,coverage_8min,coverage_10min,mean_utilization,max_utilization,mean_queue_length,max_queue_length,queue_fraction,total_incidents,incidents_queued,random_seed
P1,48,P1_K48,19,2,2.3031566902394407,2.1748253211956126,2.9654779253178276,3.366205499140733,0.9982817869415808,0.9982817869415808,0.9982817869415808,0.03041386024830543,0.12681903867243643,0.0,0,0.0,582,0,61
P1,48,P1_K48,20,2,2.297345375341818,2.1750894008141586,3.026895408387702,3.366205499140733,0.9982876712328768,1.0,1.0,0.03086337310393884,0.1440087160312514,0.0,0,0.0,584,0,62
P1,48,P1_K48,21,2,2.2995341651605226,2.169482619257792,2.969868118499619,3.3689025598663984,0.996415770609319,0.996415770609319,1.0,0.03003917681453874,0.12475213637247608,0.0,0,0.0,558,0,63
P1,48,P1_K48,22,2,2.327205629212045,2.2298371797214145,3.0268954083884694,3.366205499140733,0.9982517482517482,1.0,1.0,0.031357140754910855,0.11885092394736213,0.0,0,0.0,572,0,64
P1,48,P1_K48,23,2,2.3120525066080115,2.1748253211956126,2.9801119025904654,3.3662054991404133,0.993103448275862,0.996551724137931,0.9982758620689656,0.03210139545127996,0.14927881847064312,0.0,0,0.0,580,0,65
P1,48,P1_K48,24,2,2.32716474125635,2.2298371797208816,3.026895408387702,3.3733976610761824,0.9949409780775716,1.0,1.0,0.031871220019431414,0.14002680552833663,0.0,0,0.0,593,0,66
P1,48,P1_K48,25,2,2.3236066338970645,2.1821687654244215,2.9801119025906786,3.366205499140733,0.9966442953020134,0.9983221476510067,1.0,0.032187694480993456,0.12906648568499804,0.0,0,0.0,596,0,67
P1,48,P1_K48,26,2,2.363467714107887,2.20715824818825,3.1660984129268854,3.642126530905898,0.9948186528497409,0.998272884283247,1.0,0.031198908246324607,0.12546644839491444,0.0,0,0.0,579,0,68
P1,48,P1_K48,27,2,2.348463264273021,2.1748253211951862,3.166098412926992,3.3841859039789313,0.9945945945945946,1.0,1.0,0.028907935697537704,0.12443232618027376,0.0,0,0.0,555,0,69
P1,48,P1_K48,28,2,2.3571847465278677,2.1946635068059095,3.1660984129268854,3.4993180955132175,0.994661921708185,0.998220640569395,0.998220640569395,0.029872080414645518,0.11622207451495943,0.0,0,0.0,562,0,70
P1,48,P1_K48,29,2,2.2930496479538416,2.1748253211951862,2.965477925316975,3.3662054991406904,0.9982238010657194,0.9982238010657194,0.9982238010657194,0.029414254386916094,0.11901654666537805,0.0,0,0.0,563,0,71
P2,48,P2_K48,0,2,2.3726544541808368,2.218497713954073,3.1660984129268854,3.467874050454994,0.9930795847750865,0.9982698961937716,1.0,0.030499354413217283,0.14354548539909273,0.0,0,0.0,578,0,42
P2,48,P2_K48,1,2,2.377008179453915,2.1774475261418047,3.1660984129268854,3.634992698189428,0.9850467289719627,0.9981308411214953,1.0,0.02858700820724232,0.14101540081533623,0.0,0,0.0,535,0,43
P2,48,P2_K48,2,2,2.4496231537146547,2.2397737416434893,3.3662054991403068,3.7394465989685557,0.984070796460177,0.9982300884955753,1.0,0.03084484527996317,0.11834592351248421,0.0,0,0.0,565,0,44
P2,48,P2_K48,3,2,2.403303224216918,2.239156327275964,3.169439829976114,3.642126530905898,0.991652754590985,0.998330550918197,0.998330550918197,0.03213131795426525,0.10857298785932434,0.0,0,0.0,599,0,45
P2,48,P2_K48,4,2,2.4943714009758953,2.2498579819428244,3.499318095512365,3.7394465989694936,0.9774696707105719,0.9965337954939342,0.9982668977469671,0.030656528974416675,0.1283240689015598,0.0,0,0.0,577,0,46
P2,48,P2_K48,5,2,2.390951246335924,2.2391563272751114,3.1660984129268854,3.6319353413099336,0.9890310786106032,0.9981718464351006,1.0,0.028811978717206227,0.1258596325886409,0.0,0,0.0,547,0,47
P2,48,P2_K48,6,2,2.3720281809465256,2.229837179720988,3.166098412927738,3.499318095512365,0.9963302752293578,0.998165137614679,1.0,0.02941173872982697,0.11179452468499214,0.0,0,0.0,545,0,48
