Experiment,Policy,Factor,Level,Metric,Mean,Std,CI_95_lo,CI_95_hi
exp2_fleet_sensitivity,P1,K,25.0,"P90 Response Time (90th percentile, min)",3.4688,0.1155,3.4275,3.5102
exp2_fleet_sensitivity,P1,K,25.0,6-min Coverage (NYC),0.99,0.0038,0.9887,0.9914
exp2_fleet_sensitivity,P1,K,25.0,8-min Coverage (NFPA),0.9974,0.0019,0.9967,0.9981
exp2_fleet_sensitivity,P1,K,25.0,Mean Utilization,0.0592,0.0024,0.0583,0.06
exp2_fleet_sensitivity,P1,K,30.0,Mean RT (min),2.3961,0.0323,2.3845,2.4076
exp2_fleet_sensitivity,P1,K,30.0,"P90 Response Time (90th percentile, min)",3.2284,0.1106,3.1888,3.2679
exp2_fleet_sensitivity,P1,K,30.0,6-min Coverage (NYC),0.9914,0.0034,0.9902,0.9926
exp2_fleet_sensitivity,P1,K,30.0,8-min Coverage (NFPA),0.9975,0.0019,0.9968,0.9982
exp2_fleet_sensitivity,P1,K,30.0,Mean Utilization,0.0492,0.002,0.0485,0.0499
exp2_fleet_sensitivity,P1,K,35.0,Mean RT (min),2.3426,0.0286,2.3324,2.3528
exp2_fleet_sensitivity,P1,K,35.0,"P90 Response Time (90th percentile, min)",3.0992,0.1139,3.0584,3.1399
exp2_fleet_sensitivity,P1,K,35.0,6-min Coverage (NYC),0.9966,0.0023,0.9958,0.9974
exp2_fleet_sensitivity,P1,K,35.0,8-min Coverage (NFPA),0.9985,0.0013,0.998,0.9989
exp2_fleet_sensitivity,P1,K,35.0,Mean Utilization,0.0421,0.0017,0.0414,0.0427
exp2_fleet_sensitivity,P1,K,40.0,Mean RT (min),2.3527,0.0284,2.3426,2.3629
exp2_fleet_sensitivity,P1,K,40.0,"P90 Response Time (90th percentile, min)",3.1168,0.1167,3.0751,3.1586
exp2_fleet_sensitivity,P1,K,40.0,6-min Coverage (NYC),0.9949,0.0027,0.9939,0.9958
exp2_fleet_sensitivity,P1,K,40.0,8-min Coverage (NFPA),0.9985,0.0013,0.998,0.9989
exp2_fleet_sensitivity,P1,K,40.0,Mean Utilization,0.0368,0.0015,0.0363,0.0373
exp2_fleet_sensitivity,P2,K,15.0,Mean RT (min),2.8245,0.0531,2.8055,2.8435
exp2_fleet_sensitivity,P2,K,15.0,"P90 Response Time (90th percentile, min)",4.4212,0.2584,4.3288,4.5137
exp2_fleet_sensitivity,P2,K,15.0,6-min Coverage (NYC),0.9566,0.0085,0.9536,0.9597
exp2_fleet_sensitivity,P2,K,15.0,8-min Coverage (NFPA),0.991,0.0043,0.9894,0.9925
exp2_fleet_sensitivity,P2,K,15.0,Mean Utilization,0.0996,0.0039,0.0982,0.101
exp2_fleet_sensitivity,P2,K,20.0,Mean RT (min),2.5666,0.0528,2.5478,2.5855
exp2_fleet_sensitivity,P2,K,20.0,"P90 Response Time (90th percentile, min)",3.7517,0.1224,3.7079,3.7955
exp2_fleet_sensitivity,P2,K,20.0,6-min Coverage (NYC),0.9817,0.0054,0.9797,0.9836
exp2_fleet_sensitivity,P2,K,20.0,8-min Coverage (NFPA),0.997,0.0022,0.9962,0.9978
exp2_fleet_sensitivity,P2,K,20.0,Mean Utilization,0.0741,0.0031,0.073,0.0752
exp2_fleet_sensitivity,P2,K,25.0,Mean RT (min),2.4964,0.052,2.4778,2.515
exp2_fleet_sensitivity,P2,K,25.0,"P90 Response Time (90th percentile, min)",3.4759,0.1129,3.4355,3.5163
exp2_fleet_sensitivity,P2,K,25.0,6-min Coverage (NYC),0.9856,0.0058,0.9835,0.9877
exp2_fleet_sensitivity,P2,K,25.0,8-min Coverage (NFPA),0.9975,0.0019,0.9968,0.9982
exp2_fleet_sensitivity,P2,K,25.0,Mean Utilization,0.0591,0.0025,0.0582,0.06
exp2_fleet_sensitivity,P2,K,30.0,Mean RT (min),2.511,0.0501,2.493,2.5289
exp2_fleet_sensitivity,P2,K,30.0,"P90 Response Time (90th percentile, min)",3.5667,0.1455,3.5146,3.6188
exp2_fleet_sensitivity,P2,K,30.0,6-min Coverage (NYC),0.9885,0.0046,0.9869,0.9902
exp2_fleet_sensitivity,P2,K,30.0,8-min Coverage (NFPA),0.9982,0.0014,0.9977,0.9987
exp2_fleet_sensitivity,P2,K,30.0,Mean Utilization,0.0493,0.0021,0.0486,0.0501
exp2_fleet_sensitivity,P2,K,35.0,Mean RT (min),2.4349,0.0434,2.4193,2.4504
exp2_fleet_sensitivity,P2,K,35.0,"P90 Response Time (90th percentile, min)",3.2889,0.1239,3.2446,3.3333
exp2_fleet_sensitivity,P2,K,35.0,6-min Coverage (NYC),0.987,0.0052,0.9851,0.9888
exp2_fleet_sensitivity,P2,K,35.0,8-min Coverage (NFPA),0.9975,0.0019,0.9968,0.9982
exp2_fleet_sensitivity,P2,K,35.0,Mean Utilization,0.0421,0.0018,0.0414,0.0427
exp2_fleet_sensitivity,P2,K,40.0,Mean RT (min),2.5033,0.0494,2.4856,2.521
exp2_fleet_sensitivity,P2,K,40.0,"P90 Response Time (90th percentile, min)",3.5489,0.1451,3.4969,3.6008
exp2_fleet_sensitivity,P2,K,40.0,6-min Coverage (NYC),0.9892,0.0045,0.9876,0.9908
exp2_fleet_sensitivity,P2,K,40.0,8-min Coverage (NFPA),0.9985,0.0013,0.9981,0.999
exp2_fleet_sensitivity,P2,K,40.0,Mean Utilization,0.037,0.0016,0.0364,0.0375
exp3_demand_sensitivity,P0,demand_multiplier,0.5,Mean RT (min),3.1031,0.0795,3.0746,3.1315
exp3_demand_sensitivity,P0,demand_multiplier,0.5,"P90 Response Time (90th percentile, min)",5.1144,0.3865,4.9761,5.2527
exp3_demand_sensitivity,P0,demand_multiplier,0.5,6-min Coverage (NYC),0.9484,0.0132,0.9436,0.9531
exp3_demand_sensitivity,P0,demand_multiplier,0.5,8-min Coverage (NFPA),0.998,0.0024,0.9972,0.9989
