Experiment,Policy,Factor,Level,Metric,Mean,Std,CI_95_lo,CI_95_hi
exp3_demand_sensitivity,P2,demand_multiplier,0.75,8-min Coverage,0.9973,0.003,0.9962,0.9984
exp3_demand_sensitivity,P2,demand_multiplier,0.75,Mean Utilization,0.0564,0.0024,0.0555,0.0572
exp3_demand_sensitivity,P2,demand_multiplier,1.0,Mean RT (min),2.5702,0.0437,2.5546,2.5859
exp3_demand_sensitivity,P2,demand_multiplier,1.0,P90 RT (min),3.7601,0.1148,3.719,3.8011
exp3_demand_sensitivity,P2,demand_multiplier,1.0,8-min Coverage,0.9962,0.0024,0.9954,0.9971
exp3_demand_sensitivity,P2,demand_multiplier,1.0,Mean Utilization,0.0746,0.0031,0.0735,0.0757
exp3_demand_sensitivity,P2,demand_multiplier,1.25,Mean RT (min),2.6284,0.0422,2.6133,2.6435
exp3_demand_sensitivity,P2,demand_multiplier,1.25,P90 RT (min),3.9158,0.0907,3.8833,3.9483
exp3_demand_sensitivity,P2,demand_multiplier,1.25,8-min Coverage,0.9957,0.002,0.995,0.9964
exp3_demand_sensitivity,P2,demand_multiplier,1.25,Mean Utilization,0.0948,0.0046,0.0932,0.0965
exp3_demand_sensitivity,P2,demand_multiplier,1.5,Mean RT (min),2.7084,0.0529,2.6894,2.7273
exp3_demand_sensitivity,P2,demand_multiplier,1.5,P90 RT (min),4.1813,0.2233,4.1014,4.2612
exp3_demand_sensitivity,P2,demand_multiplier,1.5,8-min Coverage,0.994,0.0033,0.9929,0.9952
exp3_demand_sensitivity,P2,demand_multiplier,1.5,Mean Utilization,0.115,0.0034,0.1138,0.1162
exp3_demand_sensitivity,P2,demand_multiplier,2.0,Mean RT (min),2.8517,0.0519,2.8332,2.8703
exp3_demand_sensitivity,P2,demand_multiplier,2.0,P90 RT (min),4.7508,0.1392,4.701,4.8006
exp3_demand_sensitivity,P2,demand_multiplier,2.0,8-min Coverage,0.9915,0.0036,0.9902,0.9928
exp3_demand_sensitivity,P2,demand_multiplier,2.0,Mean Utilization,0.1534,0.0056,0.1514,0.1554
exp4_service_robustness,P0,service_time_mean,20.0,Mean RT (min),8.0184,0.2616,7.9248,8.112
exp4_service_robustness,P0,service_time_mean,20.0,P90 RT (min),19.3006,0.7116,19.0459,19.5552
exp4_service_robustness,P0,service_time_mean,20.0,8-min Coverage,0.6477,0.0196,0.6407,0.6547
exp4_service_robustness,P0,service_time_mean,20.0,Mean Utilization,0.0761,0.0034,0.0749,0.0773
exp4_service_robustness,P0,service_time_mean,25.0,Mean RT (min),8.0825,0.2663,7.9871,8.1778
exp4_service_robustness,P0,service_time_mean,25.0,P90 RT (min),19.4746,0.6687,19.2353,19.7139
exp4_service_robustness,P0,service_time_mean,25.0,8-min Coverage,0.6444,0.0203,0.6371,0.6516
exp4_service_robustness,P0,service_time_mean,25.0,Mean Utilization,0.0906,0.004,0.0892,0.092
exp4_service_robustness,P0,service_time_mean,30.0,Mean RT (min),8.1386,0.2518,8.0485,8.2287
exp4_service_robustness,P0,service_time_mean,30.0,P90 RT (min),19.5528,0.6329,19.3263,19.7793
exp4_service_robustness,P0,service_time_mean,30.0,8-min Coverage,0.6426,0.0172,0.6364,0.6487
exp4_service_robustness,P0,service_time_mean,30.0,Mean Utilization,0.1051,0.0046,0.1034,0.1067
exp4_service_robustness,P1,service_time_mean,20.0,Mean RT (min),2.595,0.0436,2.5794,2.6106
exp4_service_robustness,P1,service_time_mean,20.0,P90 RT (min),3.9115,0.0949,3.8775,3.9454
exp4_service_robustness,P1,service_time_mean,20.0,8-min Coverage,0.9965,0.0022,0.9957,0.9973
exp4_service_robustness,P1,service_time_mean,20.0,Mean Utilization,0.0603,0.0025,0.0594,0.0612
exp4_service_robustness,P1,service_time_mean,25.0,Mean RT (min),2.634,0.0468,2.6173,2.6508
exp4_service_robustness,P1,service_time_mean,25.0,P90 RT (min),4.0314,0.1471,3.9787,4.084
exp4_service_robustness,P1,service_time_mean,25.0,8-min Coverage,0.9958,0.0025,0.9949,0.9967
exp4_service_robustness,P1,service_time_mean,25.0,Mean Utilization,0.0747,0.0031,0.0736,0.0758
exp4_service_robustness,P1,service_time_mean,30.0,Mean RT (min),2.6739,0.045,2.6578,2.6901
exp4_service_robustness,P1,service_time_mean,30.0,P90 RT (min),4.1782,0.1925,4.1094,4.2471
exp4_service_robustness,P1,service_time_mean,30.0,8-min Coverage,0.9948,0.0026,0.9939,0.9957
exp4_service_robustness,P1,service_time_mean,30.0,Mean Utilization,0.0891,0.0037,0.0877,0.0904
exp4_service_robustness,P2,service_time_mean,20.0,Mean RT (min),2.5217,0.0382,2.508,2.5354
exp4_service_robustness,P2,service_time_mean,20.0,P90 RT (min),3.651,0.1025,3.6143,3.6877
exp4_service_robustness,P2,service_time_mean,20.0,8-min Coverage,0.9969,0.0022,0.9961,0.9977
exp4_service_robustness,P2,service_time_mean,20.0,Mean Utilization,0.0602,0.0025,0.0593,0.061
exp4_service_robustness,P2,service_time_mean,25.0,Mean RT (min),2.5702,0.0437,2.5546,2.5859
exp4_service_robustness,P2,service_time_mean,25.0,P90 RT (min),3.7601,0.1148,3.719,3.8011
exp4_service_robustness,P2,service_time_mean,25.0,8-min Coverage,0.9962,0.0024,0.9954,0.9971
exp4_service_robustness,P2,service_time_mean,25.0,Mean Utilization,0.0746,0.0031,0.0735,0.0757
exp4_service_robustness,P2,service_time_mean,30.0,Mean RT (min),2.6202,0.0505,2.6021,2.6383
exp4_service_robustness,P2,service_time_mean,30.0,P90 RT (min),3.9085,0.1851,3.8423,3.9748
exp4_service_robustness,P2,service_time_mean,30.0,8-min Coverage,0.9957,0.0025,0.9948,0.9966
exp4_service_robustness,P2,service_time_mean,30.0,Mean Utilization,0.089,0.0037,0.0877,0.0903
