experiment,policy,K,demand_multiplier,n_replications,mean_queue_length_avg,mean_queue_length_std,max_queue_length_avg,max_queue_length_max,queue_fraction_avg,queue_fraction_std,pct_reps_with_queuing,mean_incidents_queued,mean_total_incidents,mean_response_time,coverage_8min
exp3_demand_sensitivity,P0,20,0.75,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,435.3,3.145966443565962,0.9968517988310228
exp3_demand_sensitivity,P0,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,570.5666666666667,3.1650640636617413,0.9966800575744866
exp3_demand_sensitivity,P0,20,1.25,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,731.6,3.2202912981114253,0.9948610244418362
exp3_demand_sensitivity,P0,20,1.5,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,883.4666666666667,3.275212028313908,0.9928681847837638
exp3_demand_sensitivity,P0,20,2.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1173.8,3.358610233117258,0.9892016608839564
exp3_demand_sensitivity,P1,20,0.5,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,285.43333333333334,2.526698671508795,0.9978972018883115
exp3_demand_sensitivity,P1,20,0.75,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,435.3666666666667,2.569860973291262,0.9970839047504302
exp3_demand_sensitivity,P1,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,572.7666666666667,2.6185749168880132,0.9964460023301557
exp3_demand_sensitivity,P1,20,1.25,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,730.0333333333333,2.678942427373278,0.9946968596606046
exp3_demand_sensitivity,P1,20,1.5,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,886.3,2.7427361958206222,0.9930069250618784
exp3_demand_sensitivity,P1,20,2.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1175.9666666666667,2.867202197803182,0.9885777627934887
exp3_demand_sensitivity,P2,20,0.5,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,285.43333333333334,2.4434978779307936,0.9982556499623397
exp3_demand_sensitivity,P2,20,0.75,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,435.3666666666667,2.5112877357541303,0.9972306749017057
exp3_demand_sensitivity,P2,20,1.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,571.3666666666667,2.566647249371996,0.9970218682683274
exp3_demand_sensitivity,P2,20,1.25,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,730.0333333333333,2.630026876367462,0.9955566294844724
exp3_demand_sensitivity,P2,20,1.5,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,884.4666666666667,2.7078017306163695,0.9947161568777585
exp3_demand_sensitivity,P2,20,2.0,30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1175.9666666666667,2.8436386178630357,0.9912264615483392
exp4_service_robustness,P0,20,1.0,90,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,570.6222222222223,3.167578324360217,0.996602923972999
exp4_service_robustness,P1,20,1.0,90,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,572.8111111111111,2.6213643326173344,0.9963651443656709
